ocr_test_index,query_id,reference_metadata_text,hi_en_ocr_text,en_only_ocr_text,gold_transcription,include_in_final_ocr_test,annotation_notes
14,hmx-0429,"Rishi Sunak ne apni career Goldman Sachs se start ki thi, UK ke PM rahe, aur ab wapas Goldman Sachs as Senior Adviser join kar rahe hain—ek loyal employee hai!","SwatKat @swatic1२ Jul 9 started his career with goldman sachs , serves as UK PM, returs to goldman sachs. thats one loyal employee १०० Rishi Sunak joins Goldman Sachs as senior adviser","SwatKat @swatic12 Jul 9 started his career with goldman sachs, serves as UK PM; returs to goldman sachs thats one loyal employee Io0 Rishi Sunak joins Goldman Sachs as senior adviser","started his career with goldman sachs, serves as UK PM, returns to goldman sachs.. that's one loyal employee 💯 Rishi Sunak joins Goldman Sachs as senior adviser",yes,
15,hmx-0558,WARNING: Alarming News for North East People Dekhein U.S. President Donald Trump ka yeh speech 📢👇 BIG DANGER RUKING FOR NORTH EAST INDIA Arunachal news today ARUNACHAL DAILY NEWS Arunachal News Coverage See link 👇,"e0० Sce 8 VARNIG Ziarming NEwvs iar EWUI0IALDul IUi Nortri East Pcuplट Dathen Us Resident Donald Spcctn Dl / Trump sd -0 BIG DANGER RUKING FOR NORTh EASTINDIA + ARLNACHAL DAILY NEWS [%110""3 eps toda! Arumechel[)=4> C0v=189|< खाप / """,8oo4 orch9 B WARWIG: Nlarnng News for APUIcCcNCS North East Pepple Dekheln U.S Fiesldent Donald speech [D 7 Trunp Ka Yeh BIG DANGER RUKING FOR NORTH EASTINDIA 1 ARUNACHAL DAILY NEWS Annacta [tts today AnnathalNet: Covelage FAKE { 1 t,WARNING: Alarming News for North East People Dekhein U.S. President Donald Trump ka yeh speech 📢👇 BIG DANGER RUKING FOR NORTH EAST INDIA Arunachal news today ARUNACHAL DAILY NEWS Arunachal News Coverage See link 👇,yes,
16,hmx-0666,Arnab Goswami Maharashtra ki sarkar girane ki khushi me,29% 8 Cc EAKE Arnab Goswami Maharashtra ki sarkar girane ki khushi me,80o4 B Sraitc FAKE Arnab Goswami Maharashtra ki sarkar girane ki khushi me,Arnab Goswami Maharashtra ki sarkar girane ki khushi me,yes,
17,hmx-0712,"India’s Vice President Jagdeep Dhankhar RESIGNS due to ‘health issues’, thanks the nation","श्ै India ke Vice President Jagdeep Dhankhar ne 'health issues ki wajah se diya resign, desh ka kiya shukriya alva","8 1 India ke Vice President Jagdeep Dhankhar ne 'health issues' ki wajah se diya resign, desh ka kiya shukriya anta","India ke Vice President Jagdeep Dhankhar ne ‘health issues’ ki wajah se diya resign, desh ka kiya shukriya",yes,
18,hmx-0171,"India jaldi sabhi toll plazas khatam kar dega, aur satellite-based system introduce karega: Nitin Gadkari Paise seedha bank account se road usage ke basis par deduct honge.","Tlt atva India jaldi sabhi toll plazas khatam kar dega, aur satellite-based system introduce karega: Nitin Gadkari Paise seedha bank account se road usage ke basis par deduct honge. ी्ै","Thc atva India jaldi sabhi toll plazas khatam kar dega, aur satellite-based system introduce karega: Nitin Gadkari Paise seedha bank account se road usage ke basis par deduct honge. 1 8","India jaldi sabhi toll plazas khatam kar dega, aur satellite-based system introduce karega: Nitin Gadkari Paise seedha bank account se road usage ke basis par deduct honge.",yes,
19,hmx-0267,Khud ko 100% truit juice kehna band karo: FSSAI ne customers ko attract karne ke liye galat claims karne par warning di hai Ek sakht nirdesh turant lagu karne ke liye diya gaya hai.,alva Khud KO LUU% Truit juice kehna band Karo :IFSSHI ne customers ko attract karne ke liye galat claims karne par warning di hai Ek sakht nirdesh turant lagu karne ke liye diya gaya hai.,aNa Khud ko TOU% fruit juice kehna bandkaro : FSSAT ne customers ko attract karne ke liye galat claims karne par warning di hai Ek sakht nirdesh turant lagu karne ke liye diya gaya Ihai.,‘Khud ko 100% fruit juice kehna band karo’: FSSAI ne customers ko attract karne ke liye galat claims karne par warning di hai Ek sakht nirdesh turant lagu karne ke liye diya gaya hai.,yes,
20,hmx-0382,"Andaman mein India ek badi oil khoj ke kareeb hai, jisme lagbhag 11 billion barrels crude oil ke reserve mile hain. Isse India ka GDP $3.7 trillion se badhkar $20 trillion tak ho sakta hai aur duniya mein energy diplomacy mein apna asar badha sakta hai.","India Andaman mein ek badi tel ki khoj ke kinare hai, jahan lagbhag 1l billion barrels crude oil ke reserve hone ka estimate hai. Yeh khoj aane wale samay mein India ki GDP ko S३.7 trillion se S२० trillion tak le ja sakti hai, aur energy diplomacy mein global influence bhi badha sakti hai.","India Andaman mein ek badi tel ki khoj ke kinare hai, jahan lagbhag 11 billion barrels crude oil ke reserve hone ka estimate hai: Yeh khoj aane wale samay mein India ki GDP ko 53.7 trillion se $20 trillion tak le ja sakti hai, aur energy diplomacy mein global influence bhi badha sakti hai.","India Andaman mein ek badi tel ki khoj ke kinare hai, jahan lagbhag 11 billion barrels crude oil ke reserve hone ka estimate hai. Yeh khoj aane wale samay mein India ki GDP ko $3.7 trillion se $20 trillion tak le ja sakti hai, aur energy diplomacy mein global influence bhi badha sakti hai.",yes,
21,hmx-0629,"Thank you, @elonmusk! Wapas aake bahut accha lag raha hai. Ummid hai sab hater aur loser mujhe miss kiye honge!","80%4 3 १ल cHEc+ Donald Ir mp is tacl: on liticr Altsi Ctt Ily el TA lei L; Elen Vlusk . Hc tas Lcsii prrmitrdta ac aack on Iwitcr CAKE 2 390 Durald J Iruinp =hollltGme Thank you. @elonmusk! "" Iag b007 Wapas aake bahut accha raha nai Ummid hai sab hater aur loser mujhe miss kiye honge! 007 १Diटl om २० 0८१ २२ Tगttar or Androld 8 B5.5K Rcticat 23K O.ग़ta Tucets 9 452K[1:88 299 6400:.*:?? 30","Goom B Sct ( ""CHECY Donald Irmp is Eck on Twitice; Altei en ""IgolTa Uet b; Ekn Mist, He Mas Lazn pcrnitcdt3 30 Rack 01 iwitcr: GAKD 1 1 Dorald A Urutnp EeUlGnu Thank you; @elonmusk! 1 lag ECn Wapas aake bahut accha raha nai; Ummid hai sab hater aur loser 1 mujhe miss kiye hongel 10;21 pm Zd Oc7 Teltter For Androld { 65.5k Rctricats 23* Olat: Twrats 452k Likag 1 4 MT 1","Thank you, @elonmusk! Wapas aake bahut accha lag raha hai. Ummid hai sab hater aur loser mujhe miss kiye honge!",yes,
22,hmx-0599,Uttar Pradesh par paardarshita ka lahar chal chuka hai! Maafi ja ar yaaga ja ka shasan dhal chuki hai. Do baar ke vidhayak ko janta gaon mein nahi ghusne de rahi. Share zarur karein,_ACL CमईCK FIKE Akhilesh Yadav Fans Follow २१ OctoDer at 2DCD Uttar Pradesh par paardarshita ka lahar chal chuka hail Maafi ja ar yaaga ja ka shasan dhal chuki hai. Do baar ke vidhayak ko jaktalegaoa me gaon mein nahi ghusne de rahi. Share zarur karein #samajivadipart,FACL CHEcK FAKE) Akhilesh Yadav Fans Follow 21 October at 20.00 Uttar Pradesh par paardarshita ka Iahar chal chuka hail Maafi ja ar yaaga ja ka shasan dhal chuki hai. Do baar ke vidhayak ko IaRFa gaon.ne gaon mein nahi ghusne de rahi. Share zarur karein #samajadiparty,Uttar Pradesh par paardarshita ka lahar chal chuka hai! Maafi ja ar yaaga ja ka shasan dhal chuki hai. Do baar ke vidhayak ko janta gaon mein nahi ghusne de rahi. Share zarur karein,yes,
23,hmx-0417,Budget Session: #RahulGandhi chutti par gaye. Mera #cartoon #WhereIsRahulGandhi #RahulOnLeave,MANJUL @lu4IUJU[toons Feb 24 2015 Budget Session #RahulGandhi chutti par gaye Mera cartoon #WlherelsRahulGandhi #RahulOnLeave POLITICKLE by MANJUL IIAUKA IIAUKA उष्ष्डछ| CLITIOY Doou- ibme Curtoonsbymanjul IWItEI - MANULtoonJ T,"MANJUL @MANIULtoons Feb 94,2015 Budget Session: #RahulGandhi chutti par gaye. Mera cartoon #WherelsRahulGandhi #RahulOnLeave POLITICKLE by MANJUL MAUKA MAUKA Bugsay| Anloy bopa- Ib-me cartoonsbymanjul Gmtter- manULtoons TL",Budget Session: #RahulGandhi chutti par gaye. Mera #cartoon #WhereIsRahulGandhi #RahulOnLeave MAUKA MAUKA BUDGET SESSION MISSING,yes,
24,hmx-0142,Ab LGBTQ+ log joint bank account khol sakte hain aur apne partners ko beneficiary ke roop mein nominate bhi kar sakte hain,Tl atva Ab LGBTQ+ log joint bank account khol sakte hain aur apne partners ko beneficiary ke roop mein nominate bhi kar sakte hain ीै,Thc atva JAb LGBTQ+ log joint bank account khol sakte hain aur apne partners ko beneficiary ke roop mein nominate bhi kar sakte hain 1 8,Ab LGBTQ+ log joint bank account khol sakte hain aur apne partners ko beneficiary ke roop mein nominate bhi kar sakte hain,yes,
25,hmx-0469,"PM Modi aur Rahul Gandhi ne 6 saal baad haath milaaye, Arvind Kejriwal ko jail bhijwane ke liye saath aaye.",PM Mod aur Rahul Gandhi ne 6 saal baad haath milaaye Arvind Kejriwal ko jail bhijwane ke liye saath aaye,"PM Modi aur Rahul Gandhi ne 6 saal baad haath milaaye, Arvind Kejriwal ko jail bhijwane ke liye saath aaye:","PM Modi aur Rahul Gandhi ne 6 saal baad haath milaaye, Arvind Kejriwal ko jail bhijwane ke liye saath aaye.",yes,
26,hmx-0617,Urja. Utsaah.,8 0 ऐ 8 8 600) 8 Amit Malviya 7 #ै 8 @amitmalvijya 0 Urja Utsaah [ISLEDIIG 8 8 #llangaluru 8 8 8 8 8 8 8 8 ४ 8 8 ९,0 8 A S 2 Coom B Amit Malvija 3 23 0 @amitmalviya He Urja: Utsaah: MSLEAding} 0 2 #Mangaluru 0 0 4 0 4 0 0 0 ' 4 8 8,Urja. Utsaah. #Mangaluru,yes,
27,hmx-0545,"Tripura mein, ek quarantine centre ke logon ne Shah Rukh Khan ke ‘Lungi Dance’ par zabardast dance kiya aur video turant viral ho gaya","1@0 =""+""फ0""""0""05"" Tipura rriein, Ek arararitinE centr= k= lugon Ouarantine Centres Tein log dance xar raii= haint Mezze Iu ralie hairi ne Shah Rukh Khan Ikz Lungi Daice Dar Luingi Dance par. Bur log Dol rane zabardast cant= Klya aui VIDED tLlarit Viral Quarantrle Birl ll Iluroai ke NSEI DD gaya Crntrc ka .idco llala (91 l4C> Inese aie re5icents oi quarantine centre in iripura","Jn0 aninDtv eropt Tripura rein, ek quarantine centre ke lagon Quarantire Centres meln lag dance Kar ralte hiain"" Mezze hiu rahe halm ne Shah Rukh Khan ke 'Lurg Dame"" Pai Lurigi Dance par, #ui luy bul rahe zabardast cante kiye aui vided turart viral Quaranilrie nelti k NumbaikeNscI no gaya Centie ka video hal: CTE Y t These are residents 0f 3 quarantine centre in Tripura","Tripura mein, ek quarantine centre ke logon ne Shah Rukh Khan ke ‘Lungi Dance’ par zabardast dance kiya aur video turant viral ho gaya. Quarantine Centres mein log dance kar rahe hain! Mazze ho rahe hain Lungi Dance par, aur log bol rahe hain ki yeh Mumbai ke NSCI Quarantine Centre ka video hai. These are residents of a quarantine centre in Tripura.",yes,
28,hmx-0409,"On PM’s suggestion, plane’s black boxes were flown to domestic lab","ShaatirBanda (Whitcpill Arc) @ Shaatirbanda Juin २ Yeh 'cdi Aake Tumhari Road Nahi Banayega' wala meme ab reality pad mein Ladal raha hai Aisa lagta hai ki unhe raha hai, hat jagah intervene karna Arindam Majumder @ari maj Jun २७ More on the investigation ot Air India ७८७ crash #AI1७1 ऋcomJari majlstatus . On PMs suggestion, planes black boxes were flown to domestic lab Continued Irom 019""] Hay stuckin AlrIndia Bangkok bound W ढ़1]2 0*0' cockilt plane delays flightat Mumbai alrport DIQ ICU O ncorder 4]-171 p Iuhir Iodla sMMumbai Danghot Flioht Utes @ whitan Crahud wthin Iln caka छll wals IUCO olonc wilnaolane irbus AazO wlltoitWus Unniloo Tie l2lsoonWedpesdaynotlccd *strawor Drass 7 Iutrinpolt d55Lnucr50J3re0(0 Data Recorders IFDR) wire wiu ondunt l५ 000112""00| Uolloredint crewondthie dlrcraltwentboch tothe Dnywhent Itmas cheched Hay Was icund stuckthere andwas removed days later Like the eurier Joud -2]12Iस@l""r19 0|100-* teporls Snum Souler adalhelMy Iaty havt pot studt inere dunng Slphn Tpeailrlne msinloriediheDGCh practice this tlaae UOD Uhere 772 1;10[08 creDul Irlu blatl cviDus ) fliahrbutUhc same beinalorootd7Al2354 DDDS To 4]0|07 078|00*[`|;0||1 the US Jor examlin 000- Mas reld bach as somehay Was loundsluca belo#tneleftuong SCIrdl I00 OI 70)17 UIUUbl dangsokon June २5, २०२५ crasht IlulunP Morll 8lstl toliu Unt TlFst Jrtrniintr oltpeonerhng Jircralit thoughthe spurceol Daycouldnoro Idcnalicd This Ma Mlhadlulle uttएooeuito und ttuittrult send Iheit Io Tiuta IH latb FLoriDn )11770* DtciDZul 4[10 as stoseuueriily cleared lor oaeraton Tunaulr Indla spohcsperson sald sourcuswuld 48 result Cha Iwio WLre duntand Iulertity cuntribull Olownto Delhl In cepurale lne cal LaLtuls ID Liihiicu Oऋlt- pboul Iint Ciuac5 000'011 Bild Irtor atton beinLk CT CLilT: Tllesday Alr Luroe planta Inst Ilont Saltly urd pestot Ul- IUaIL OCCITIUILLE All 00 pcled Inrocoiu tlme In ltzs |117001 oooath Is Ihls Ialahe pnd FUR dala la undurway Tht analysls Of OV lons hv butn Ihenin Inlll coinpllimtL WIUH UlO IIILTULL Dral oxamiplt of thcuniaol plunt Innt crshiedl 2[|01:111 TlLst Uflorts alm 8|[ 1[160 7|00* *70*{1110*[]61 UOIl ण Ballorla lli8 al IllbOINUOIUOl UUl- ]] TLIIL Iollnhl Lerrllory being Lramiun the Dountrys lilbs Itsell sald tventa lending I० Une DDcl- unner Ilt ollicial clilt- umlorolllcial","ShaatirBanda (Whitcpill Arc) @ShaatirBanda Jun 27 Yeh 'Modi Aake Tumhari Road Nahi Banayega' wala meme ab reality ~pad mein badal raha hai. Aisa lagta hai ki unhe raha hai; har jagah intervene karna Arindam Majumder @ari_maj Jun 27 More on the investigation of Air India 787 crash #Al171 Xcom/ari_majlstatus _ On PMs suggestion; plane s black boxes were flown to domestic lab Continued hom Paga] Hay stuck in Air India Bangkok-bound TV hile I cockplt plane delays flight at Mumbai airport voicu TCURI 00 nroner F17I P My Alr Indla' s Mumbal-Bangkok Fllght utes & Which cnshed Wthin mn ak-oll Xn: rco of the wingol thc Alrbus 4320 whenitwastaxIlng They AlZ354on Wednesdaynotlccd ""strawor grass-|uttingout USiendersbodiedto Data Recorders (FDR) were wntonJunek Une Ficnt Intorm &dthe crewvard the alrcralt wendbacktothe Day where Itwas checked Haywas foundstuck ther and wasremoved_ days later Like the earller ound U Tuelc49 Irt repors SAuta Sources saldthe mymay have got stuck there during slnha Thealrilne has Informed theDGCA: practice, this tme t00, there ee pana And the black previous) flightbutthe same beingprobtr;""Al2354 pores [o aljud. e-tMM the US for examin U= wis heldbuck as sone hay was fouridstuck belowthe left ing eched t0 opcn Homt umbal Dangkokon June 25,2025 crashHuton FMModi esu5 tulid tne trG Dreamliner ortheoperating aircralt though the spurceollaycouldnot be Identilicd Thiswas mmedinte attendedto_4nd tnealcralt send them t0 Ie AAIB Iab, Kustion, e ducided Hn Was suosequertly cleared for operation ""an Alr India spokespersonsald; sourceseld As Fesult, thc two were dent add [derutity contribut: fownto Delhl insparate]na Jnk uctuns (0 enhance WvID - about the Cuuscs menI suid- Inforuuation bemgexe ullim Tuesday- Alr Forcc planes ust ton silety and prevent [: (Ure occurroncus ALL @C= [ected Inrrcurdtlme Inkss Fn month; uthis 1 the and FDR data Is underxay FThy analysls of CVR tlons hne ben Inken In tull comnpliance with donequc Oret exampleot thedata of plane that Crtshed udaa Tuese otlorts 4m Auucl Wal # MnCA - recul 4 Mtlonde 0ws und mntermlonal uui: MI thqund tertItery b'Ing examined [n the countTY'$ labs Itselt,said events lending t0 tha #eC]: mnner; the ollicial #totet- eontoroucial;","Yeh 'Modi Aake Tumhari Road Nahi Banayega' wala meme ab reality mein badal raha hai. Aisa lagta hai ki unhe har jagah intervene karna pad raha hai. On PM’s suggestion, plane’s black boxes were flown to domestic lab",yes,
29,hmx-0663,"Thaila hatane gaye head constable ka muh dabochha, maafi mangvakar hi chhoda Jodhpur ki ghatna","एटाम न ठेते वने फा उ्या रूपदेगा पुन्प ने ज्वा चड फरन पी७े रोपे S""l=nणn सन Iu eoon 8 ठेला हटाने गए हैड कांस्टेबल का ७४ 10० Ciies मुंह दबोचा, माफी मंगवाकर छाडा kaa muh cah nrrha, maafi Inaila hatane Taye Tgad constan जोधपुरकी घटना CAKE Joabgur Ki ghaina","T *37ttutt 44a7lf45um0 &4 hlenrh =FuetTTAE 8004 B 8cI1 B21+ TQ 83 #iZedt #T ae ""chec 1a <dl; T14 TaIR 81gl MamvCathcthacuaaf Thaila hatane gaye head constabl Giugr #0271 FAKD Joghpur ki ghatna","ठेला हटाने गए हेड कांस्टेबल का मुंह दबोचा, माफी मंगवाकर ही छोड़ा जोधपुर की घटना Thaila hatane gaye head constable ka muh dabochha, maafi mangvakar hi chhoda Jodhpur ki ghatna",yes,
30,hmx-0402,"INDIAN NEWS 1/2 Indian Railways sabhi trains mein ATMs install karega, trials Mumbai-Manmad Panchavati express se shuru ho gave hain.","UDUU 5 Weleome te Baaket Iltie ा % 7 INDIAN NEWS 1/2 Indian Railways sabhi trains mein ATMs install karega, trials Mumbai Manmad Panchavati express se shuru ho gaye hain.","Indian EwS Wetore%e548"" har Ftna L INDIAN NEWS 1/2 Indian Railways sabhi trains mein ATMs install karega, trials Mumbai-Manmad Panchavati express se shuru ho gaye hain.","INDIAN NEWS 1/2 Indian Railways sabhi trains mein ATMs install karega, trials Mumbai-Manmad Panchavati express se shuru ho gaye hain.",yes,
31,hmx-0075,"Israel‑Palestine war khatam—Qatar mein hostage‑ceasefire deal sign hui 15 mahine ke baad aur lagbhag 48,000 maut ke baad.","'lil1t atva Israel Palestine war khatam Qatar mein hostage ceasefire deal sign hui १५ mahine ke baad aur lagbhag ४८,००० maut ke baad.","TTc alva Israel-Palestine war khatam-_Qatar mein hostage-ceasefire deal sign hui 15 mahine ke baad aur lagbhag 48,000 maut ke baad:","Israel-Palestine war khatam—Qatar mein hostage-ceasefire deal sign hui 15 mahine ke baad aur lagbhag 48,000 maut ke baad.",yes,
32,hmx-0471,BBC ne bola – Gujarat mein GT vs CSK match mein jo baarish hui uske zimmedar Modi Ji hain!,8 8 BBC ne bola Gujarat mein GTvs CSK match mein jo baarish hui uske zimmedar Modi Ji hain!,B B BBC ne bola Gujarat mein GT vs CSK match _ mein jo baarish hui uske zimmedar Modi Ji hain!,BBC ne bola – Gujarat mein GT vs CSK match mein jo baarish hui uske zimmedar Modi Ji hain!,yes,
